,County,State,num_icu_be,irr2010,popOver60,deaths,Total Population,cluster
265,Troup,Georgia,20.0,0.46,13380,39,69433,1
266,Union,Georgia,5.0,0.52,8856,4,22262,1
267,Upson,Georgia,28.0,0.5,6294,45,26241,1
268,Walton,Georgia,7.0,0.41,17821,31,88695,1
269,Ware,Georgia,10.0,0.51,7974,17,35688,1
270,Wayne,Georgia,12.0,0.51,6149,0,29833,1
271,Whitfield,Georgia,26.0,0.39,18625,18,103963,1
272,Hawaii,Hawaii,24.0,0.51,52582,0,196325,1
273,Honolulu,Hawaii,136.0,0.28,218287,15,990060,0
274,Kauai,Hawaii,9.0,0.48,18043,0,71093,1
275,Ada,Idaho,88.0,0.38,80856,30,435117,0
276,Bannock,Idaho,20.0,0.47,15750,1,84113,1
277,Bingham,Idaho,5.0,0.52,8667,1,45369,1
278,Bonner,Idaho,4.0,0.52,13317,0,41855,1
279,Bonneville,Idaho,35.0,0.47,20000,1,110404,1
280,Canyon,Idaho,41.0,0.41,36810,16,207027,1
281,Cassia,Idaho,6.0,0.56,4324,1,23472,1
282,Kootenai,Idaho,55.0,0.45,36910,1,150128,1
283,Madison,Idaho,4.0,0.5,3374,0,38241,1
284,Nez Perce,Idaho,9.0,0.5,10185,19,40014,1
285,Twin Falls,Idaho,30.0,0.52,16621,26,82248,1
286,Adams,Illinois,25.0,0.49,16968,1,66787,1
287,Bureau,Illinois,9.0,0.52,9368,2,33619,1
288,Champaign,Illinois,13.0,0.43,35016,17,207946,1
290,DeKalb,Illinois,16.0,0.45,16887,22,104473,1
291,DuPage,Illinois,219.0,0.13,189208,494,931826,0
292,Effingham,Illinois,10.0,0.51,8041,2,34164,1
293,Fayette,Illinois,4.0,0.53,5172,3,21980,1
294,Ford,Illinois,2.0,0.54,3522,1,13470,1
295,Fulton,Illinois,5.0,0.51,9382,0,35733,1
296,Grundy,Illinois,8.0,0.47,9077,5,50333,1
297,Henry,Illinois,3.0,0.5,12932,1,49649,1
298,Jackson,Illinois,21.0,0.47,11301,19,59115,1
299,Jefferson,Illinois,22.0,0.5,9508,17,38358,1
300,Jersey,Illinois,4.0,0.51,5642,1,22215,1
301,Kane,Illinois,87.0,0.29,93411,288,529402,0
302,Kankakee,Illinois,18.0,0.44,23667,66,110801,1
303,Knox,Illinois,18.0,0.49,13829,0,51374,1
304,Lake,Illinois,108.0,0.19,131932,432,704476,0
305,LaSalle,Illinois,13.0,0.46,27315,17,111151,1
306,Lee,Illinois,6.0,0.51,8585,2,34670,1
307,Livingston,Illinois,5.0,0.51,9046,2,36812,1
308,McDonough,Illinois,7.0,0.51,7097,15,31597,1
309,McHenry,Illinois,33.0,0.36,58774,105,308043,1
310,McLean,Illinois,30.0,0.44,29727,15,173231,1
311,Macon,Illinois,35.0,0.43,27263,22,107587,1
