county,state,first_case_date
Putnam,Indiana,2020-03-22
Pulaski,Indiana,2020-04-06
Conejos,Colorado,2020-05-07
Elbert,Colorado,2020-03-21
El Paso,Colorado,2020-03-06
Eagle,Colorado,2020-03-06
Douglas,Colorado,2020-03-05
Denver,Colorado,2020-03-06
Delta,Colorado,2020-03-24
Custer,Colorado,2020-04-02
Crowley,Colorado,2020-03-19
Costilla,Colorado,2020-03-27
Clear Creek,Colorado,2020-03-13
El Dorado,California,2020-03-21
Cheyenne,Colorado,2020-05-07
Chaffee,Colorado,2020-03-21
Broomfield,Colorado,2020-03-20
Boulder,Colorado,2020-03-14
Bent,Colorado,2020-05-10
Baca,Colorado,2020-03-28
Archuleta,Colorado,2020-03-30
Arapahoe,Colorado,2020-03-09
Alamosa,Colorado,2020-03-27
Fremont,Colorado,2020-03-24
Garfield,Colorado,2020-03-15
Gilpin,Colorado,2020-04-09
Grand,Colorado,2020-03-19
Ouray,Colorado,2020-04-04
Otero,Colorado,2020-03-25
Morgan,Colorado,2020-03-19
Montrose,Colorado,2020-03-21
Montezuma,Colorado,2020-03-29
Moffat,Colorado,2020-03-28
Mineral,Colorado,2020-03-29
Mesa,Colorado,2020-03-14
Logan,Colorado,2020-03-23
Lincoln,Colorado,2020-03-27
Las Animas,Colorado,2020-04-03
Larimer,Colorado,2020-03-09
Lake,Colorado,2020-03-31
La Plata,Colorado,2020-03-23
Kit Carson,Colorado,2020-03-26
Jefferson,Colorado,2020-03-05
Huerfano,Colorado,2020-03-24
Hinsdale,Colorado,2020-03-21
Gunnison,Colorado,2020-03-10
Adams,Colorado,2020-03-12
Yuba,California,2020-03-21
Yolo,California,2020-03-06
Riverside,California,2020-03-07
Placer,California,2020-03-02
Orange,California,2020-01-25
